SUBDIVISION,YEAR,ANNUAL
SUB HIMALAYAN WEST BENGAL & SIKKIM,1990,3565.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1991,3072.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1992,2358.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,1993,2895.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,1994,2127.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1995,3557.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,1996,2800.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1997,2551.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1998,3655.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1999,3323.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,2000,2908
SUB HIMALAYAN WEST BENGAL & SIKKIM,2001,2612.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,2002,2547
SUB HIMALAYAN WEST BENGAL & SIKKIM,2003,2723.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,2004,2714.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,2005,2807.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,2006,2262.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,2007,2638.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,2008,2689.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,2009,2324.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,2010,2612.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,2011,2418.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,2012,2632.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,2013,2406.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,2014,2322.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,2015,2518.6
GANGETIC WEST BENGAL,1901,1487.6
GANGETIC WEST BENGAL,1902,1347.7
GANGETIC WEST BENGAL,1903,1354.3
GANGETIC WEST BENGAL,1904,1383.1
GANGETIC WEST BENGAL,1905,1666.9
GANGETIC WEST BENGAL,1906,1395.6
GANGETIC WEST BENGAL,1907,1337
GANGETIC WEST BENGAL,1908,1400
GANGETIC WEST BENGAL,1909,1697.8
GANGETIC WEST BENGAL,1910,1385.9
GANGETIC WEST BENGAL,1911,1264.9
GANGETIC WEST BENGAL,1912,1347.4
GANGETIC WEST BENGAL,1913,1826.8
GANGETIC WEST BENGAL,1914,1383.9
GANGETIC WEST BENGAL,1915,1310.3
GANGETIC WEST BENGAL,1916,1600.5
GANGETIC WEST BENGAL,1917,1775.8
GANGETIC WEST BENGAL,1918,1395.4
GANGETIC WEST BENGAL,1919,1482.2
GANGETIC WEST BENGAL,1920,1363.6
GANGETIC WEST BENGAL,1921,1300.2
GANGETIC WEST BENGAL,1922,1655.6
GANGETIC WEST BENGAL,1923,1285.2
GANGETIC WEST BENGAL,1924,1266.5
GANGETIC WEST BENGAL,1925,1273.6
GANGETIC WEST BENGAL,1926,1705.4
GANGETIC WEST BENGAL,1927,1190.5
GANGETIC WEST BENGAL,1928,1625
GANGETIC WEST BENGAL,1929,1557.3
GANGETIC WEST BENGAL,1930,1380.8
GANGETIC WEST BENGAL,1931,1475.8
GANGETIC WEST BENGAL,1932,1306.9
GANGETIC WEST BENGAL,1933,1867.2
GANGETIC WEST BENGAL,1934,1117.4
GANGETIC WEST BENGAL,1935,1015.1
GANGETIC WEST BENGAL,1936,1505.6
GANGETIC WEST BENGAL,1937,1522.5
GANGETIC WEST BENGAL,1938,1337.8
GANGETIC WEST BENGAL,1939,1698.4
GANGETIC WEST BENGAL,1940,1358.5
GANGETIC WEST BENGAL,1941,1801.1
GANGETIC WEST BENGAL,1942,1615.6
GANGETIC WEST BENGAL,1943,1446.2
GANGETIC WEST BENGAL,1944,1406.4
GANGETIC WEST BENGAL,1945,1271.5
GANGETIC WEST BENGAL,1946,1714.2
GANGETIC WEST BENGAL,1947,1363
GANGETIC WEST BENGAL,1948,1532.1
GANGETIC WEST BENGAL,1949,1493.7
GANGETIC WEST BENGAL,1950,1615.6
GANGETIC WEST BENGAL,1951,1214
GANGETIC WEST BENGAL,1952,1395.7
GANGETIC WEST BENGAL,1953,1505.8
GANGETIC WEST BENGAL,1954,1080
GANGETIC WEST BENGAL,1955,1268.2
GANGETIC WEST BENGAL,1956,1714.2
GANGETIC WEST BENGAL,1957,1130.5
GANGETIC WEST BENGAL,1958,1151.1
GANGETIC WEST BENGAL,1959,1812.9
GANGETIC WEST BENGAL,1960,1245.5
GANGETIC WEST BENGAL,1961,1290.4
GANGETIC WEST BENGAL,1962,1173.6
GANGETIC WEST BENGAL,1963,1289.5
GANGETIC WEST BENGAL,1964,1278.5
GANGETIC WEST BENGAL,1965,1263.7
GANGETIC WEST BENGAL,1966,1118.7
GANGETIC WEST BENGAL,1967,1348.4
GANGETIC WEST BENGAL,1968,1597.7
GANGETIC WEST BENGAL,1969,1404
GANGETIC WEST BENGAL,1970,1648.5
GANGETIC WEST BENGAL,1971,2099.8
GANGETIC WEST BENGAL,1972,1333.2
GANGETIC WEST BENGAL,1973,1735.2
GANGETIC WEST BENGAL,1974,1470.7
GANGETIC WEST BENGAL,1975,1466.2
GANGETIC WEST BENGAL,1976,1240.6
GANGETIC WEST BENGAL,1977,1840.6
GANGETIC WEST BENGAL,1978,1872.5
GANGETIC WEST BENGAL,1979,1157.9
GANGETIC WEST BENGAL,1980,1521
GANGETIC WEST BENGAL,1981,1909
GANGETIC WEST BENGAL,1982,1111
GANGETIC WEST BENGAL,1983,1463.6
GANGETIC WEST BENGAL,1984,1831.7
GANGETIC WEST BENGAL,1985,1413.4
GANGETIC WEST BENGAL,1986,1791
GANGETIC WEST BENGAL,1987,1591.5
GANGETIC WEST BENGAL,1988,1681.5
GANGETIC WEST BENGAL,1989,1626.3
GANGETIC WEST BENGAL,1990,1961.3
GANGETIC WEST BENGAL,1991,1609.1
GANGETIC WEST BENGAL,1992,1414.6
GANGETIC WEST BENGAL,1993,1759.7
GANGETIC WEST BENGAL,1994,1530.8
GANGETIC WEST BENGAL,1995,1936
GANGETIC WEST BENGAL,1996,1504
GANGETIC WEST BENGAL,1997,1657.7
GANGETIC WEST BENGAL,1998,1632.7
GANGETIC WEST BENGAL,1999,1957
GANGETIC WEST BENGAL,2000,1572.1
GANGETIC WEST BENGAL,2001,1540.6
GANGETIC WEST BENGAL,2002,1613.3
GANGETIC WEST BENGAL,2003,1496.7
GANGETIC WEST BENGAL,2004,1569.4
GANGETIC WEST BENGAL,2005,1604.9
GANGETIC WEST BENGAL,2006,1660.5
GANGETIC WEST BENGAL,2007,1941.4
GANGETIC WEST BENGAL,2008,1555.2
GANGETIC WEST BENGAL,2009,1315
GANGETIC WEST BENGAL,2010,1064.8
GANGETIC WEST BENGAL,2011,1686.5
GANGETIC WEST BENGAL,2012,1268
GANGETIC WEST BENGAL,2013,1764.1
GANGETIC WEST BENGAL,2014,1261.4
GANGETIC WEST BENGAL,2015,1530.3
ORISSA,1901,1284.2
ORISSA,1902,1349
ORISSA,1903,1568.3
ORISSA,1904,1514.8
ORISSA,1905,1357.3
ORISSA,1906,1408.2
ORISSA,1907,1447.1
ORISSA,1908,1430.6
ORISSA,1909,1535.5
ORISSA,1910,1598.5
ORISSA,1911,1417.3
ORISSA,1912,1397.2
ORISSA,1913,1544.3
ORISSA,1914,1598.5
ORISSA,1915,1437.1
ORISSA,1916,1479.4
ORISSA,1917,1850.1
ORISSA,1918,1297.4
ORISSA,1919,1758.1
ORISSA,1920,1402.6
ORISSA,1921,1324
ORISSA,1922,1466.5
ORISSA,1923,1258.6
ORISSA,1924,1263.4
ORISSA,1925,1807.8
ORISSA,1926,1535.8
ORISSA,1927,1525.5
ORISSA,1928,1585.6
ORISSA,1929,1637.8
ORISSA,1930,1446.4
ORISSA,1931,1477.2
ORISSA,1932,1440.2
ORISSA,1933,1851
ORISSA,1934,1488.9
ORISSA,1935,1219.4
ORISSA,1936,1876
ORISSA,1937,1567.3
ORISSA,1938,1441.6
ORISSA,1939,1563.4
ORISSA,1940,1687.7
ORISSA,1941,1435.2
ORISSA,1942,1448.3
ORISSA,1943,1586.5
ORISSA,1944,1608.1
ORISSA,1945,1538.6
ORISSA,1946,1614.9
ORISSA,1947,1410.9
ORISSA,1948,1333.8
ORISSA,1949,1348.9
ORISSA,1950,1392.8
ORISSA,1951,1396.2
ORISSA,1952,1516.7
ORISSA,1953,1437.7
ORISSA,1954,1208
ORISSA,1955,1597
ORISSA,1956,1885.4
ORISSA,1957,1277.5
ORISSA,1958,1624
ORISSA,1959,1495.9
ORISSA,1960,1593
ORISSA,1961,1945.3
ORISSA,1962,1346.5
ORISSA,1963,1562
ORISSA,1964,1354.7
ORISSA,1965,1174.7
ORISSA,1966,1286.8
ORISSA,1967,1427.5
ORISSA,1968,1464.1
ORISSA,1969,1283.2
ORISSA,1970,1412.3
ORISSA,1971,1596.8
ORISSA,1972,1324.9
ORISSA,1973,1573.5
ORISSA,1974,987
ORISSA,1975,1392
ORISSA,1976,1178.8
ORISSA,1977,1477.9
ORISSA,1978,1439
ORISSA,1979,995.9
ORISSA,1980,1462.9
ORISSA,1981,1295.7
ORISSA,1982,1258.5
ORISSA,1983,1432
ORISSA,1984,1377.6
ORISSA,1985,1607.3
ORISSA,1986,1560
ORISSA,1987,1097.6
ORISSA,1988,1306.9
ORISSA,1989,1299.7
ORISSA,1990,1905
ORISSA,1991,1472.8
ORISSA,1992,1329.5
ORISSA,1993,1448
ORISSA,1994,1744.6
ORISSA,1995,1614
ORISSA,1996,1061.8
ORISSA,1997,1504.5
ORISSA,1998,1357.1
ORISSA,1999,1484.3
ORISSA,2000,1097.2
ORISSA,2001,1672.5
ORISSA,2002,1102.8
ORISSA,2003,1648.2
ORISSA,2004,1290.4
ORISSA,2005,1503.4
ORISSA,2006,1716.9
ORISSA,2007,1633.8
ORISSA,2008,1538.9
ORISSA,2009,1330.3
ORISSA,2010,1291.9
ORISSA,2011,1346.2
ORISSA,2012,1405.9
ORISSA,2013,1632.4
ORISSA,2014,1536.9
ORISSA,2015,1210.1
JHARKHAND,1901,1274.5
JHARKHAND,1902,1197.6
JHARKHAND,1903,1174.3
JHARKHAND,1904,1480.7
JHARKHAND,1905,1354.7
JHARKHAND,1906,1314.3
JHARKHAND,1907,1455.7
JHARKHAND,1908,1214.2
JHARKHAND,1909,1447.9
JHARKHAND,1910,1297.6
JHARKHAND,1911,1475.4
JHARKHAND,1912,1142.9
JHARKHAND,1913,1585.6
JHARKHAND,1914,1215.5
JHARKHAND,1915,1102.3
JHARKHAND,1916,1364.3
JHARKHAND,1917,1724.4
JHARKHAND,1918,1162.6
JHARKHAND,1919,1633.5
JHARKHAND,1920,1415
JHARKHAND,1921,1233.8
JHARKHAND,1922,1443.2
JHARKHAND,1923,1431.9
JHARKHAND,1924,1431.8
JHARKHAND,1925,1327.6
JHARKHAND,1926,1478.4
JHARKHAND,1927,1283.1
JHARKHAND,1928,1384
JHARKHAND,1929,1611.5
JHARKHAND,1930,1434
JHARKHAND,1931,1350.4
JHARKHAND,1932,1193.8
JHARKHAND,1933,1535.6
JHARKHAND,1934,1197.4
JHARKHAND,1935,1151.6
JHARKHAND,1936,1664.3
JHARKHAND,1937,1450.6
JHARKHAND,1938,1229.8
JHARKHAND,1939,1519.7
JHARKHAND,1940,1231.9
JHARKHAND,1941,1513.5
JHARKHAND,1942,1589
JHARKHAND,1943,1556.1
JHARKHAND,1944,1386.3
JHARKHAND,1945,1308.7
JHARKHAND,1946,1553.2
JHARKHAND,1947,1234.5
JHARKHAND,1948,1402.6
JHARKHAND,1949,1436.7
JHARKHAND,1950,1393
JHARKHAND,1951,1071.7
JHARKHAND,1952,1387.4
JHARKHAND,1953,1509.4
JHARKHAND,1954,1059.5
JHARKHAND,1955,1080.8
JHARKHAND,1956,1555.7
JHARKHAND,1957,1377.5
JHARKHAND,1958,1180.5
JHARKHAND,1959,1599.9
JHARKHAND,1960,1248.8
JHARKHAND,1961,1560.5
JHARKHAND,1962,1047.7
JHARKHAND,1963,1315
JHARKHAND,1964,1150.3
JHARKHAND,1965,1012.4
JHARKHAND,1966,879.8
JHARKHAND,1967,1225.3
JHARKHAND,1968,1293.4
JHARKHAND,1969,1158.1
JHARKHAND,1970,1291.5
JHARKHAND,1971,1898.6
JHARKHAND,1972,996.1
JHARKHAND,1973,1441
JHARKHAND,1974,1127
JHARKHAND,1975,1361.3
JHARKHAND,1976,1191.8
JHARKHAND,1977,1521.5
JHARKHAND,1978,1556.1
JHARKHAND,1979,882.8
JHARKHAND,1980,1340.6
JHARKHAND,1981,1167.2
JHARKHAND,1982,1085.3
JHARKHAND,1983,1261.7
JHARKHAND,1984,1529.9
JHARKHAND,1985,1240.3
JHARKHAND,1986,1335.6
JHARKHAND,1987,1332.7
JHARKHAND,1988,1153.7
JHARKHAND,1989,1149
JHARKHAND,1990,1404.2
JHARKHAND,1991,1250.9
JHARKHAND,1992,933
JHARKHAND,1993,1204
JHARKHAND,1994,1579.4
JHARKHAND,1995,1366.5
JHARKHAND,1996,1191.7
JHARKHAND,1997,1461.3
JHARKHAND,1998,1353.8
JHARKHAND,1999,1586.9
JHARKHAND,2000,1191.5
JHARKHAND,2001,1254.4
JHARKHAND,2002,1034.9
JHARKHAND,2003,1245
JHARKHAND,2004,1136.6
JHARKHAND,2005,960.4
JHARKHAND,2006,1459.5
JHARKHAND,2007,1437.3
JHARKHAND,2008,1325.3
JHARKHAND,2009,996.1
JHARKHAND,2010,697.1
JHARKHAND,2011,1374.7
JHARKHAND,2012,1065
JHARKHAND,2013,1253.6
JHARKHAND,2014,1156.6
JHARKHAND,2015,1081.8
BIHAR,1901,952.3
BIHAR,1902,1206.2
BIHAR,1903,1016.3
BIHAR,1904,1269.5
BIHAR,1905,1498.5
BIHAR,1906,1265.1
BIHAR,1907,1126.4
BIHAR,1908,737.5
BIHAR,1909,1390.5
BIHAR,1910,1398.5
BIHAR,1911,1449.2
BIHAR,1912,1129.4
BIHAR,1913,1529.7
BIHAR,1914,1059.8
BIHAR,1915,1349.4
BIHAR,1916,1504.6
BIHAR,1917,1334.1
BIHAR,1918,1411.7
BIHAR,1919,1252.7
BIHAR,1920,1123.9
BIHAR,1921,1272.2
BIHAR,1922,1449.2
BIHAR,1923,982.8
BIHAR,1924,1456.3
BIHAR,1925,1191.5
BIHAR,1926,1121.8
BIHAR,1927,1100.2
BIHAR,1928,1249.8
BIHAR,1929,1359.2
BIHAR,1930,1114.3
BIHAR,1931,1146.3
BIHAR,1932,926.9
BIHAR,1933,1392.6
BIHAR,1934,1226.1
BIHAR,1935,1240.4
BIHAR,1936,1572.5
BIHAR,1937,1306.4
BIHAR,1938,1506.7
BIHAR,1939,1243.2
BIHAR,1940,1088.3
BIHAR,1941,1223.1
BIHAR,1942,1252.5
BIHAR,1943,1169.9
BIHAR,1944,1228.8
BIHAR,1945,1242.9
BIHAR,1946,1393.7
BIHAR,1947,1092.1
BIHAR,1948,1299.2
BIHAR,1949,1444.4
BIHAR,1950,1124.6
BIHAR,1951,850.2
BIHAR,1952,1206.8
BIHAR,1953,1378.7
BIHAR,1954,1050.5
BIHAR,1955,1244.2
BIHAR,1956,1493.4
BIHAR,1957,966.9
BIHAR,1958,1167.4
BIHAR,1959,1179.6
BIHAR,1960,1247.9
BIHAR,1961,1258.1
BIHAR,1962,1178.1
BIHAR,1963,1326.1
BIHAR,1964,1122.5
BIHAR,1965,1002.7
BIHAR,1966,767
BIHAR,1967,999.9
BIHAR,1968,1140.1
BIHAR,1969,1288.6
BIHAR,1970,1074.7
BIHAR,1971,1432.6
BIHAR,1972,717.9
BIHAR,1973,1189
BIHAR,1974,1235.2
BIHAR,1975,1069.1
BIHAR,1976,1161.7
BIHAR,1977,1147.5
BIHAR,1978,1290.8
BIHAR,1979,1001.9
BIHAR,1980,1252.2
BIHAR,1981,1364.7
BIHAR,1982,933.5
BIHAR,1983,1104.2
BIHAR,1984,1426.2
BIHAR,1985,1455
BIHAR,1986,1322.1
BIHAR,1987,1660.4
BIHAR,1988,1337.4
BIHAR,1989,1269.9
BIHAR,1990,1239.4
BIHAR,1991,1045.7
BIHAR,1992,797.6
BIHAR,1993,1208.3
BIHAR,1994,969.4
BIHAR,1995,1111.9
BIHAR,1996,1107.2
BIHAR,1997,1303.7
BIHAR,1998,1332.5
BIHAR,1999,1402.7
BIHAR,2000,1207
BIHAR,2001,1247
BIHAR,2002,1105.8
BIHAR,2003,1353.9
BIHAR,2004,1147.8
BIHAR,2005,907.8
BIHAR,2006,1052.8
BIHAR,2007,1600.2
BIHAR,2008,1197.7
BIHAR,2009,889.3
BIHAR,2010,629.2
BIHAR,2011,1097.1
BIHAR,2012,1032.4
BIHAR,2013,1069.9
BIHAR,2014,1061
BIHAR,2015,872.7
EAST UTTAR PRADESH,1901,873.2
EAST UTTAR PRADESH,1902,905.2
EAST UTTAR PRADESH,1903,1216.4
EAST UTTAR PRADESH,1904,1071.2
EAST UTTAR PRADESH,1905,891.6
EAST UTTAR PRADESH,1906,997.7
EAST UTTAR PRADESH,1907,666.3
EAST UTTAR PRADESH,1908,744.7
EAST UTTAR PRADESH,1909,1106.9
EAST UTTAR PRADESH,1910,1116.4
EAST UTTAR PRADESH,1911,1113.9
EAST UTTAR PRADESH,1912,879.6
EAST UTTAR PRADESH,1913,861.4
EAST UTTAR PRADESH,1914,988.8
EAST UTTAR PRADESH,1915,1409.8
EAST UTTAR PRADESH,1916,1201.9
EAST UTTAR PRADESH,1917,1216.5
EAST UTTAR PRADESH,1918,650.7
EAST UTTAR PRADESH,1919,1023.4
EAST UTTAR PRADESH,1920,860.2
EAST UTTAR PRADESH,1921,1114.7
EAST UTTAR PRADESH,1922,1364
EAST UTTAR PRADESH,1923,1076.2
EAST UTTAR PRADESH,1924,1119.9
EAST UTTAR PRADESH,1925,1114.1
EAST UTTAR PRADESH,1926,989.5
EAST UTTAR PRADESH,1927,1031.2
EAST UTTAR PRADESH,1928,804.8
EAST UTTAR PRADESH,1929,1014.8
EAST UTTAR PRADESH,1930,1069.5
EAST UTTAR PRADESH,1931,1047.1
EAST UTTAR PRADESH,1932,738.5
EAST UTTAR PRADESH,1933,977.5
EAST UTTAR PRADESH,1934,1068.4
EAST UTTAR PRADESH,1935,919.8
EAST UTTAR PRADESH,1936,1545.5
EAST UTTAR PRADESH,1937,1035.3
EAST UTTAR PRADESH,1938,1374.2
EAST UTTAR PRADESH,1939,945
EAST UTTAR PRADESH,1940,866.8
EAST UTTAR PRADESH,1941,798.2
EAST UTTAR PRADESH,1942,1028.6
EAST UTTAR PRADESH,1943,1101.1
EAST UTTAR PRADESH,1944,1061.5
EAST UTTAR PRADESH,1945,980.4
EAST UTTAR PRADESH,1946,1038.9
EAST UTTAR PRADESH,1947,1006.3
EAST UTTAR PRADESH,1948,1323.1
EAST UTTAR PRADESH,1949,1131
EAST UTTAR PRADESH,1950,951.4
EAST UTTAR PRADESH,1951,752.5
EAST UTTAR PRADESH,1952,935.9
EAST UTTAR PRADESH,1953,1266.9
EAST UTTAR PRADESH,1954,969.7
EAST UTTAR PRADESH,1955,1424.3
EAST UTTAR PRADESH,1956,1254.1
EAST UTTAR PRADESH,1957,955.7
EAST UTTAR PRADESH,1958,1016.9
EAST UTTAR PRADESH,1959,869.2
EAST UTTAR PRADESH,1960,1170
EAST UTTAR PRADESH,1961,1214.3
EAST UTTAR PRADESH,1962,1072
EAST UTTAR PRADESH,1963,996.3
EAST UTTAR PRADESH,1964,1036.6
EAST UTTAR PRADESH,1965,685.5
EAST UTTAR PRADESH,1966,707.8
EAST UTTAR PRADESH,1967,1029.4
EAST UTTAR PRADESH,1968,840
EAST UTTAR PRADESH,1969,1024.6
EAST UTTAR PRADESH,1970,1132.3
EAST UTTAR PRADESH,1971,1311.1
EAST UTTAR PRADESH,1972,666.9
EAST UTTAR PRADESH,1973,955.7
EAST UTTAR PRADESH,1974,882.2
EAST UTTAR PRADESH,1975,1225.5
EAST UTTAR PRADESH,1976,923.5
EAST UTTAR PRADESH,1977,914.1
EAST UTTAR PRADESH,1978,1116.3
EAST UTTAR PRADESH,1979,696.5
EAST UTTAR PRADESH,1980,1488.5
EAST UTTAR PRADESH,1981,1110.1
EAST UTTAR PRADESH,1982,1110.6
EAST UTTAR PRADESH,1983,1204.8
EAST UTTAR PRADESH,1984,1076.7
EAST UTTAR PRADESH,1985,1175.9
EAST UTTAR PRADESH,1986,935.3
EAST UTTAR PRADESH,1987,824.7
EAST UTTAR PRADESH,1988,1085.1
EAST UTTAR PRADESH,1989,969.9
EAST UTTAR PRADESH,1990,1106.1
EAST UTTAR PRADESH,1991,875.2
EAST UTTAR PRADESH,1992,863.4
EAST UTTAR PRADESH,1993,834
EAST UTTAR PRADESH,1994,910.2
EAST UTTAR PRADESH,1995,860.5
EAST UTTAR PRADESH,1996,1010.3
EAST UTTAR PRADESH,1997,493.3
EAST UTTAR PRADESH,1998,661
EAST UTTAR PRADESH,1999,952.8
EAST UTTAR PRADESH,2000,946.8
EAST UTTAR PRADESH,2001,973.8
EAST UTTAR PRADESH,2002,689.1
EAST UTTAR PRADESH,2003,1096.4
EAST UTTAR PRADESH,2004,746.9
EAST UTTAR PRADESH,2005,770.3
EAST UTTAR PRADESH,2006,632.1
EAST UTTAR PRADESH,2007,741.2
EAST UTTAR PRADESH,2008,953.4
EAST UTTAR PRADESH,2009,610.2
EAST UTTAR PRADESH,2010,692.2
EAST UTTAR PRADESH,2011,781.2
EAST UTTAR PRADESH,2012,602.7
EAST UTTAR PRADESH,2013,1041.4
EAST UTTAR PRADESH,2014,701.2
EAST UTTAR PRADESH,2015,603.3
WEST UTTAR PRADESH,1901,775.9
WEST UTTAR PRADESH,1902,736.6
WEST UTTAR PRADESH,1903,808.4
WEST UTTAR PRADESH,1904,945.2
WEST UTTAR PRADESH,1905,433.5
WEST UTTAR PRADESH,1906,978.7
WEST UTTAR PRADESH,1907,589.5
WEST UTTAR PRADESH,1908,866.3
WEST UTTAR PRADESH,1909,903
WEST UTTAR PRADESH,1910,875.9
WEST UTTAR PRADESH,1911,751.6
WEST UTTAR PRADESH,1912,804.5
WEST UTTAR PRADESH,1913,495.3
WEST UTTAR PRADESH,1914,887.5
WEST UTTAR PRADESH,1915,802.5
WEST UTTAR PRADESH,1916,1114.2
WEST UTTAR PRADESH,1917,1120.2
WEST UTTAR PRADESH,1918,371.9
WEST UTTAR PRADESH,1919,969.1
WEST UTTAR PRADESH,1920,622.8
WEST UTTAR PRADESH,1921,992.3
WEST UTTAR PRADESH,1922,1000.8
WEST UTTAR PRADESH,1923,902.3
WEST UTTAR PRADESH,1924,1064.1
WEST UTTAR PRADESH,1925,943.8
WEST UTTAR PRADESH,1926,917
WEST UTTAR PRADESH,1927,934.2
WEST UTTAR PRADESH,1928,644.6
WEST UTTAR PRADESH,1929,650.1
WEST UTTAR PRADESH,1930,788.1
WEST UTTAR PRADESH,1931,930.8
WEST UTTAR PRADESH,1932,706
WEST UTTAR PRADESH,1933,1035.3
WEST UTTAR PRADESH,1934,897.7
WEST UTTAR PRADESH,1935,784.6
WEST UTTAR PRADESH,1936,1218.4
WEST UTTAR PRADESH,1937,676.7
WEST UTTAR PRADESH,1938,730.4
WEST UTTAR PRADESH,1939,721.1
WEST UTTAR PRADESH,1940,783.9
WEST UTTAR PRADESH,1941,516.4
WEST UTTAR PRADESH,1942,1088.2
WEST UTTAR PRADESH,1943,850.4
WEST UTTAR PRADESH,1944,770.3
WEST UTTAR PRADESH,1945,966
WEST UTTAR PRADESH,1946,896.6
WEST UTTAR PRADESH,1947,809.2
WEST UTTAR PRADESH,1948,1028.1
WEST UTTAR PRADESH,1949,906.7
WEST UTTAR PRADESH,1950,834
WEST UTTAR PRADESH,1951,728.9
WEST UTTAR PRADESH,1952,875.3
WEST UTTAR PRADESH,1953,761.8
WEST UTTAR PRADESH,1954,879.3
WEST UTTAR PRADESH,1955,1060.9
WEST UTTAR PRADESH,1956,1064.4
WEST UTTAR PRADESH,1957,1005.2
WEST UTTAR PRADESH,1958,1165.3
WEST UTTAR PRADESH,1959,768.3
WEST UTTAR PRADESH,1960,1129.8
WEST UTTAR PRADESH,1961,1198.3
WEST UTTAR PRADESH,1962,798.2
WEST UTTAR PRADESH,1963,929.7
WEST UTTAR PRADESH,1964,1002
WEST UTTAR PRADESH,1965,673.5
WEST UTTAR PRADESH,1966,756
WEST UTTAR PRADESH,1967,1157.2
WEST UTTAR PRADESH,1968,693.3
WEST UTTAR PRADESH,1969,878.1
WEST UTTAR PRADESH,1970,863.8
WEST UTTAR PRADESH,1971,1003.1
WEST UTTAR PRADESH,1972,585.1
WEST UTTAR PRADESH,1973,805.9
WEST UTTAR PRADESH,1974,668.9
WEST UTTAR PRADESH,1975,989.5
WEST UTTAR PRADESH,1976,653.2
WEST UTTAR PRADESH,1977,994.3
WEST UTTAR PRADESH,1978,1244.2
WEST UTTAR PRADESH,1979,558
WEST UTTAR PRADESH,1980,984.7
WEST UTTAR PRADESH,1981,739.6
WEST UTTAR PRADESH,1982,969.1
WEST UTTAR PRADESH,1983,1191.7
WEST UTTAR PRADESH,1984,781.3
WEST UTTAR PRADESH,1985,957.2
WEST UTTAR PRADESH,1986,715.2
WEST UTTAR PRADESH,1987,466.8
WEST UTTAR PRADESH,1988,1035.6
WEST UTTAR PRADESH,1989,657.3
WEST UTTAR PRADESH,1990,958
WEST UTTAR PRADESH,1991,748.7
WEST UTTAR PRADESH,1992,820.6
WEST UTTAR PRADESH,1993,771.9
WEST UTTAR PRADESH,1994,806.8
WEST UTTAR PRADESH,1995,826.8
WEST UTTAR PRADESH,1996,941.2
WEST UTTAR PRADESH,1997,445.2
WEST UTTAR PRADESH,1998,867.2
WEST UTTAR PRADESH,1999,786.4
WEST UTTAR PRADESH,2000,771.4
WEST UTTAR PRADESH,2001,661.7
WEST UTTAR PRADESH,2002,625.2
WEST UTTAR PRADESH,2003,1047.5
WEST UTTAR PRADESH,2004,642.3
WEST UTTAR PRADESH,2005,725.7
WEST UTTAR PRADESH,2006,529.3
WEST UTTAR PRADESH,2007,572.5
WEST UTTAR PRADESH,2008,799.8
WEST UTTAR PRADESH,2009,549.2
WEST UTTAR PRADESH,2010,820.7
WEST UTTAR PRADESH,2011,777.4
WEST UTTAR PRADESH,2012,389.6
WEST UTTAR PRADESH,2013,932.8
WEST UTTAR PRADESH,2014,486.9
WEST UTTAR PRADESH,2015,582.7
UTTARAKHAND,1901,1562.5
UTTARAKHAND,1902,1324.2
UTTARAKHAND,1903,1306.5
UTTARAKHAND,1904,1492
UTTARAKHAND,1905,1302.1
UTTARAKHAND,1906,1537.9
UTTARAKHAND,1907,1194.4
UTTARAKHAND,1908,1256.2
UTTARAKHAND,1909,1717.7
UTTARAKHAND,1910,1963.9
UTTARAKHAND,1911,1542.9
UTTARAKHAND,1912,1394.5
UTTARAKHAND,1913,1137.6
UTTARAKHAND,1914,1940.9
UTTARAKHAND,1915,1601.3
UTTARAKHAND,1916,1678.8
UTTARAKHAND,1917,2102.9
UTTARAKHAND,1918,1215.2
UTTARAKHAND,1919,1583.1
UTTARAKHAND,1920,1328.4
UTTARAKHAND,1921,1848.7
UTTARAKHAND,1922,1860
UTTARAKHAND,1923,1582.9
UTTARAKHAND,1924,1927.1
UTTARAKHAND,1925,1535
UTTARAKHAND,1926,1381.2
UTTARAKHAND,1927,1649.9
UTTARAKHAND,1928,1241.9
UTTARAKHAND,1929,1212.2
UTTARAKHAND,1930,1271.2
UTTARAKHAND,1931,1334.1
UTTARAKHAND,1932,1369.6
UTTARAKHAND,1933,1595.8
UTTARAKHAND,1934,1339
UTTARAKHAND,1935,1137.2
